title,anime_id
School Rumble,24
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,42203
Shigatsu wa Kimi no Uso,23273
Ballroom e Youkoso,34636
Nodame Cantabile: Paris-hen,4477
Fruits Basket 2nd Season,40417
Tonikaku Kawaii,41389
Gamers!,34280
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,37450
Durarara!!x2 Shou,23199
Ryuugajou Nanana no Maizoukin (TV),21561
Rikei ga Koi ni Ochita no de Shoumei shitemita.,38992
Inou-Battle wa Nichijou-kei no Naka de,25159
Log Horizon,17265
Higurashi no Naku Koro ni,934
Nejimaki Seirei Senki: Tenkyou no Alderamin,31764
Kami nomi zo Shiru Sekai: Megami-hen,16706
Takt Op. Destiny,48556
Dakaretai Otoko 1-i ni Odosarete Imasu.,37597
Fullmetal Alchemist,121
Digimon Adventure 02,1313
Isshuukan Friends.,21327
Suisei no Gargantia,16524
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,45576
Psycho-Pass,13601
Pokemon XY&Z,31592
Kokkoku,36548
Yowamushi Pedal: Grande Road,24277
"Sentouin, Hakenshimasu!",41456
Nana,877
Haikyuu!! Second Season,28891
Nazo no Kanojo X,12467
Tokyo Revengers,42249
Mahouka Koukou no Rettousei: Raihousha-hen,40497
Busou Renkin,1536
Natsume Yuujinchou,4081
Saihate no Paladin,48761
MM!,8424
Ao no Exorcist: Kyoto Fujouou-hen,33506
To LOVE-Ru Darkness,13663
Kuroshitsuji,4898
Boku no Hero Academia 3rd Season,36456
Irozuku Sekai no Ashita kara,37497
Bokura wa Minna Kawai-sou,21405
Mushishi Zoku Shou 2nd Season,24701
Punch Line,28617
Darker than Black: Ryuusei no Gemini,6573
Golden Time,17895
Sword Art Online: Alicization - War of Underworld,39597
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,38659
Uzaki-chan wa Asobitai!,41226
Haiyore! Nyaruko-san W,15699
Grancrest Senki,34279
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,37999
Tsurezure Children,34902
Bokutachi wa Benkyou ga Dekinai,38186
Amagi Brilliant Park,22147
Nichijou,10165
Elfen Lied,226
Aoi Bungaku Series,7193
Love Live! Sunshine!!,32526
"Kanojo, Okarishimasu",40839
Cross Ange: Tenshi to Ryuu no Rondo,25731
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,26055
Chuunibyou demo Koi ga Shitai!,14741
InuYasha: Kanketsu-hen,6811
Initial D Fourth Stage,18
Busou Shoujo Machiavellianism,33475
C: The Money of Soul and Possibility Control,10163
Great Teacher Onizuka,245
Kuzu no Honkai,32949
Adachi to Shimamura,39790
Initial D First Stage,185
Tensei shitara Slime Datta Ken 2nd Season,39551
Grisaia no Rakuen,29095
Sousei no Onmyouji,32105
Koi wa Ameagari no You ni,34984
86 Part 2,48569
Suzumiya Haruhi no Yuuutsu,849
Shokugeki no Souma,28171
Beck,57
SSSS.Gridman,35847
Darwin's Game,38656
Subete ga F ni Naru,28621
Selector Infected WIXOSS,22273
Soredemo Sekai wa Utsukushii,22101
Chrno Crusade,60
Mononoke,2246
Inuyashiki,34542
Mairimashita! Iruma-kun,39196
Basilisk: Kouga Ninpou Chou,67
Magi: Sinbad no Bouken (TV),31741
Devil Survivor 2 The Animation,16512
Back Street Girls: Gokudolls,36873
Chrome Shelled Regios,4186
Seitokai no Ichizon,5909
Gangsta.,25183
Maria†Holic,5030
Haiyore! Nyaruko-san,11785
Vanitas no Karte,48580
Sekirei,4063
Monogatari Series: Second Season,17074
Suzumiya Haruhi no Yuuutsu (2009),4382
Pokemon Advanced Generation,1564
Mushoku Tensei: Isekai Ittara Honki Dasu,39535
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,38790
Isekai Quartet,38472
Tenjou Tenge,174
Aldnoah.Zero 2nd Season,27655
Kishuku Gakkou no Juliet,37475
Vinland Saga,37521
One Piece,21
Gochuumon wa Usagi Desu ka?,21273
Arslan Senki (TV),28249
Gunslinger Girl,134
Osake wa Fuufu ni Natte kara,35484
Mangaka-san to Assistant-san to The Animation,21863
Baccano!,2251
Banana Fish,36649
Boku dake ga Inai Machi,31043
Highschool of the Dead,8074
Bungou Stray Dogs 2nd Season,32867
07-Ghost,5525
Darker than Black: Kuro no Keiyakusha,2025
Bokura ga Ita,1222
Owari no Seraph: Nagoya Kessen-hen,28927
Strike Witches,3667
Zero no Tsukaima F,11319
Pokemon,527
Dragon Ball,223
Shinmai Maou no Testament Burst,30363
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742
Gakusen Toshi Asterisk,30544
Dimension W,31163
Yuru Camp△,34798
Machine-Doll wa Kizutsukanai,17247
Kami no Tou,40221
Mikakunin de Shinkoukei,20541
No Guns Life,39539
K-On!!,7791
Angel Beats!,6547
Mahouka Koukou no Rettousei,20785
Watashi ni Tenshi ga Maiorita!,37993
Saiki Kusuo no Ψ-nan 2,34612
Ookami to Koushinryou,2966
Date A Live III,36633
Shingetsutan Tsukihime,169
Beastars 2nd Season,40935
Afro Samurai,1292
Wonder Egg Priority,43299
Devils Line,35928
Death Note,1535
Tanaka-kun wa Itsumo Kedaruge,32093
Yojouhan Shinwa Taikei,7785
Uta no☆Prince-sama♪ Maji Love 1000%,10321
Ichiban Ushiro no Daimaou,7088
Zero kara Hajimeru Mahou no Sho,34176
Tsubasa Chronicle,177
Death Parade,28223
High School DxD New,15451
Shingeki no Kyojin Season 3 Part 2,38524
5-toubun no Hanayome ∬,39783
Shakugan no Shana,355
Eizouken ni wa Te wo Dasu na!,39792
Ahiru no Sora,37403
Akkun to Kanojo,36864
Shaman King,154
Kanata no Astra,39198
Jormungand,12413
Youjo Senki,32615
Kyoukai no Kanata,18153
Kakegurui××,37086
Kujira no Kora wa Sajou ni Utau,34712
Chihayafuru,10800
Nanbaka,30016
Shokugeki no Souma: Gou no Sara,40902
Ao no Exorcist,9919
Re:Zero kara Hajimeru Isekai Seikatsu,31240
Shingeki no Kyojin: The Final Season,40028
Fugou Keiji: Balance:Unlimited,41120
Fumetsu no Anata e,41025
Boku no Hero Academia 5th Season,41587
Shinigami Bocchan to Kuro Maid,47257
Shingeki no Bahamut: Genesis,21843
Shakugan no Shana III (Final),6773
Serial Experiments Lain,339
Watashi ga Motete Dousunda,32899
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,37991
High School DxD Hero,34281
Ore no Imouto ga Konnani Kawaii Wake ga Nai,8769
Naruto: Shippuuden,1735
Gekkan Shoujo Nozaki-kun,23289
Hidan no Aria,8630
Musaigen no Phantom World,31442
Digimon Frontier,1132
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",44037
Dororo,37520
Outbreak Company,19369
Taimadou Gakuen 35 Shiken Shoutai,24133
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,12293
Fate/stay night,356
Non Non Biyori,17549
Shirobako,25835
Ore Monogatari!!,28297
Noblesse,41345
Ookami Shoujo to Kuro Ouji,23673
Space☆Dandy 2nd Season,23327
3-gatsu no Lion 2nd Season,35180
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,31933
Hoshiai no Sora,37972
Hibike! Euphonium,27989
Black Lagoon: The Second Barrage,1519
Log Horizon 2nd Season,23321
Maoyuu Maou Yuusha,14833
Kakumeiki Valvrave,16668
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,801
Love Hina,189
3-gatsu no Lion,31646
Aho Girl,34881
Sonny Boy,48849
Persona 4 the Animation,10588
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",40496
Tate no Yuusha no Nariagari,35790
Akame ga Kill!,22199
Steins;Gate,9253
Wolf's Rain,202
Black Lagoon,889
Nisemonogatari,11597
Overflow,40746
Lucky☆Star,1887
Rozen Maiden,64
Inazuma Eleven,5231
Edens Zero,42192
Junjou Romantica,3092
Trinity Blood,27
Kimetsu no Yaiba: Mugen Ressha-hen,49926
Fate/Grand Order: Zettai Majuu Sensen Babylonia,38084
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,33095
Yuu☆Yuu☆Hakusho,392
Bishoujo Senshi Sailor Moon,530
Nabari no Ou,3655
Sayonara Zetsubou Sensei,2605
Sora no Otoshimono: Forte,8407
Free! Eternal Summer,22265
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,33028
Boku no Hero Academia 4th Season,38408
Nyan Koi!,6512
Heion Sedai no Idaten-tachi,42625
Orange,32729
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,13659
Akatsuki no Yona,25013
ReLIFE,30015
Mahou Shoujo Madoka★Magica,9756
Neon Genesis Evangelion,30
Trigun,6
Sword Art Online Alternative: Gun Gale Online,36475
xxxHOLiC,861
Denpa Kyoushi (TV),29589
Boku wa Tomodachi ga Sukunai Next,14967
Itazura na Kiss,3731
Megalo Box,36563
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,40454
Kamisama ni Natta Hi,41930
Brave 10,11241
True Tears,2129
Bokutachi wa Benkyou ga Dekinai!,40004
Tokyo Mew Mew,687
Kobayashi-san Chi no Maid Dragon S,39247
Inu x Boku SS,11013
Kantai Collection: KanColle,21511
Mushishi,457
Koi to Yobu ni wa Kimochi Warui,41103
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989
Joker Game,31405
Ga-Rei: Zero,4725
Ajin 2nd Season,33253
Odd Taxi,46102
Kami nomi zo Shiru Sekai,8525
Ao Haru Ride,21995
No.6,10161
Shokugeki no Souma: San no Sara,35788
Air Gear,857
Fairy Tail: Final Series,35972
Sakura-sou no Pet na Kanojo,13759
Yamato Nadeshiko Shichihenge♥,1562
Kakegurui,34933
Hunter x Hunter (2011),11061
Prince of Stride: Alternative,31559
Heavy Object,27829
Beelzebub,9513
Black Bullet,20787
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,29786
Seihou Bukyou Outlaw Star,400
Initial D Second Stage,186
Terra Formars,22687
5-toubun no Hanayome,38101
No Game No Life,19815
Hataraku Saibou!!,39586
Nodame Cantabile: Finale,5690
Gin no Saji 2nd Season,19363
D.Gray-man,1482
Kimetsu no Yaiba: Yuukaku-hen,47778
Senpai ga Uzai Kouhai no Hanashi,42351
Initial D Fifth Stage,15059
Kamisama no Inai Nichiyoubi,16009
Jigoku Shoujo,228
D-Frag!,20031
Hataraku Saibou Black (TV),41694
Blue Period,46352
Saenai Heroine no Sodatekata ♭,30727
Vivy: Fluorite Eye's Song,46095
Shiki,7724
Shingeki! Kyojin Chuugakkou,31374
Fate/stay night: Unlimited Blade Works 2nd Season,28701
Dumbbell Nan Kilo Moteru?,39026
Zero no Tsukaima: Futatsuki no Kishi,1840
Bokutachi no Remake,40904
Oda Nobuna no Yabou,11933
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,40815
Owarimonogatari 2nd Season,35247
Gantz,384
Tengen Toppa Gurren Lagann,2001
"Ijiranaide, Nagatoro-san",42361
Kyoukaisenjou no Horizon,10456
InuYasha,249
Fate/kaleid liner Prisma☆Illya 2wei Herz!,27525
Golden Kamuy 2nd Season,37989
Shingeki no Bahamut: Virgin Soul,30736
Air,101
Yakusoku no Neverland,37779
Fairy Tail,6702
Baka to Test to Shoukanjuu Ni!,8516
Gatchaman Crowds,18229
World Trigger,24405
Nurarihyon no Mago: Sennen Makyou,10049
Ushio to Tora (TV) 2nd Season,31098
Arslan Senki (TV): Fuujin Ranbu,31821
UQ Holder!: Mahou Sensei Negima! 2,33478
Space☆Dandy,20057
Himouto! Umaru-chan R,35376
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,37491
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",37393
Needless,6030
Koukaku Kidoutai: Stand Alone Complex,467
Madan no Ou to Vanadis,24455
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,32935
Haikyuu!!,20583
Yuru Yuri,10495
Yu☆Gi☆Oh! 5D's,3972
Osomatsu-san,31174
Akudama Drive,41433
Claymore,1818
Ookami-san to Shichinin no Nakama-tachi,7769
Tsugumomo,34019
Rurouni Kenshin: Meiji Kenkaku Romantan,45
Tasogare Otome x Amnesia,12445
Seitokai Yakuindomo,8675
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,23847
B-gata H-kei,7817
Hamatora The Animation,20689
Working!!,6956
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",31637
"Kumo Desu ga, Nani ka?",37984
Ergo Proxy,790
Fate/Zero,10087
Mieruko-chan,48483
Shokugeki no Souma: Ni no Sara,32282
Prison School,30240
3D Kanojo: Real Girl 2nd Season,37956
Deca-Dence,40056
Tokyo Ravens,16011
Gantz 2nd Stage,395
Servamp,31229
Kingdom,12031
Satsuriku no Tenshi,35994
Dragon Ball Z,813
Hachimitsu to Clover,16
Gyakkyou Burai Kaiji: Ultimate Survivor,3002
Seirei Gensouki,44203
Mob Psycho 100,32182
Nomad: Megalo Box 2,40729
Hataraku Saibou (TV),37141
Karin,469
Senryuu Shoujo,38787
New Game!,31953
Mahoutsukai no Yome,35062
Baby Steps,21185
Sidonia no Kishi: Daikyuu Wakusei Seneki,24893
Detective Conan,235
Ryuuou no Oshigoto!,35905
Mobile Suit Gundam SEED Destiny,94
Noragami Aragoto,30503
Hellsing,270
Psycho-Pass 2,23281
Cowboy Bebop,1
Happy Sugar Life,37517
Mirai Nikki (TV),10620
Sidonia no Kishi,19775
Gungrave,267
Midori no Hibi,330
Full Metal Panic!,71
High Score Girl,21877
Toaru Majutsu no Index III,36432
Knight's & Magic,34104
Kotoura-san,15379
Guilty Crown,10793
Boku no Hero Academia,31964
ef: A Tale of Memories.,2924
Tamako Market,16417
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",38145
Toaru Kagaku no Railgun T,38481
Bungou Stray Dogs 3rd Season,38003
Asobi Asobase,37171
Zetman,11837
Devil May Cry,1726
Fruits Basket,120
Zankyou no Terror,23283
Kiseijuu: Sei no Kakuritsu,22535
Hyouka,12189
Vampire Knight,3457
Slayers,534
Zombieland Saga: Revenge,40174
Boogiepop wa Warawanai (2019),37451
Tenkuu no Escaflowne,182
Houseki no Kuni (TV),35557
Fate/stay night: Unlimited Blade Works,22297
Zero no Tsukaima,1195
Kuroshitsuji: Book of Circus,22145
K: Return of Kings,27991
Yuru Yuri San☆Hai!,30279
Last Exile,97
Natsume Yuujinchou Shi,11665
